Point,Output,Nominal,Pass/Fail
"Parameters: Vdd_col=675m, BLB_Vdd=-200m",,,
152,Vdd_col,675e-3,
152,BLB_Vdd,-200e-3,
152,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-187.5m",,,
153,Vdd_col,675e-3,
153,BLB_Vdd,-187.5e-3,
153,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-175m",,,
154,Vdd_col,675e-3,
154,BLB_Vdd,-175e-3,
154,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-162.5m",,,
155,Vdd_col,675e-3,
155,BLB_Vdd,-162.5e-3,
155,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-150m",,,
156,Vdd_col,675e-3,
156,BLB_Vdd,-150e-3,
156,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-137.5m",,,
157,Vdd_col,675e-3,
157,BLB_Vdd,-137.5e-3,
157,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-125m",,,
158,Vdd_col,675e-3,
158,BLB_Vdd,-125e-3,
158,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-112.5m",,,
159,Vdd_col,675e-3,
159,BLB_Vdd,-112.5e-3,
159,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-100m",,,
160,Vdd_col,675e-3,
160,BLB_Vdd,-100e-3,
160,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-87.5m",,,
161,Vdd_col,675e-3,
161,BLB_Vdd,-87.5e-3,
161,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-75m",,,
162,Vdd_col,675e-3,
162,BLB_Vdd,-75e-3,
162,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-62.5m",,,
163,Vdd_col,675e-3,
163,BLB_Vdd,-62.5e-3,
163,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-50m",,,
164,Vdd_col,675e-3,
164,BLB_Vdd,-50e-3,
164,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-37.5m",,,
165,Vdd_col,675e-3,
165,BLB_Vdd,-37.5e-3,
165,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-25m",,,
166,Vdd_col,675e-3,
166,BLB_Vdd,-25e-3,
166,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=-12.5m",,,
167,Vdd_col,675e-3,
167,BLB_Vdd,-12.5e-3,
167,Pass,1,
"Parameters: Vdd_col=675m, BLB_Vdd=79.8a",,,
168,Vdd_col,675e-3,
168,BLB_Vdd,79.8e-18,
168,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-250m",,,
169,Vdd_col,700e-3,
169,BLB_Vdd,-250e-3,
169,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-237.5m",,,
170,Vdd_col,700e-3,
170,BLB_Vdd,-237.5e-3,
170,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-225m",,,
171,Vdd_col,700e-3,
171,BLB_Vdd,-225e-3,
171,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-212.5m",,,
172,Vdd_col,700e-3,
172,BLB_Vdd,-212.5e-3,
172,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-200m",,,
173,Vdd_col,700e-3,
173,BLB_Vdd,-200e-3,
173,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-187.5m",,,
174,Vdd_col,700e-3,
174,BLB_Vdd,-187.5e-3,
174,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-175m",,,
175,Vdd_col,700e-3,
175,BLB_Vdd,-175e-3,
175,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-162.5m",,,
176,Vdd_col,700e-3,
176,BLB_Vdd,-162.5e-3,
176,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-150m",,,
177,Vdd_col,700e-3,
177,BLB_Vdd,-150e-3,
177,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-137.5m",,,
178,Vdd_col,700e-3,
178,BLB_Vdd,-137.5e-3,
178,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-125m",,,
179,Vdd_col,700e-3,
179,BLB_Vdd,-125e-3,
179,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-112.5m",,,
180,Vdd_col,700e-3,
180,BLB_Vdd,-112.5e-3,
180,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-100m",,,
181,Vdd_col,700e-3,
181,BLB_Vdd,-100e-3,
181,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-87.5m",,,
182,Vdd_col,700e-3,
182,BLB_Vdd,-87.5e-3,
182,Pass,1,
"Parameters: Vdd_col=700m, BLB_Vdd=-75m",,,
