Point,Output,Nominal,Pass/Fail
192,BLB_Vdd,-225e-3,
192,PW,10e-12,
192,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-212.5m",,,
193,BLB_Vdd,-212.5e-3,
193,PW,10e-12,
193,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-200m",,,
194,BLB_Vdd,-200e-3,
194,PW,10e-12,
194,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-187.5m",,,
195,BLB_Vdd,-187.5e-3,
195,PW,10e-12,
195,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-175m",,,
196,BLB_Vdd,-175e-3,
196,PW,10e-12,
196,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-162.5m",,,
197,BLB_Vdd,-162.5e-3,
197,PW,10e-12,
197,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-150m",,,
198,BLB_Vdd,-150e-3,
198,PW,10e-12,
198,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-137.5m",,,
199,BLB_Vdd,-137.5e-3,
199,PW,10e-12,
199,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-125m",,,
200,BLB_Vdd,-125e-3,
200,PW,10e-12,
200,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-112.5m",,,
201,BLB_Vdd,-112.5e-3,
201,PW,10e-12,
201,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-100m",,,
202,BLB_Vdd,-100e-3,
202,PW,10e-12,
202,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-87.5m",,,
203,BLB_Vdd,-87.5e-3,
203,PW,10e-12,
203,Pass,1,
"Parameters: PW=10p, BLB_Vdd=-75m",,,
204,BLB_Vdd,-75e-3,
204,PW,10e-12,
